PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,heating___electric,heating___hot air,heating___hot water/steam,fuel___electric,fuel___gas,fuel___oil,sewer___none,sewer___public/commercial,sewer___septic,waterfront___No,waterfront___Yes,newConstruction___No,newConstruction___Yes,centralAir___No,centralAir___Yes,objetivo
-0.2769195202341258,-0.6423589858594178,-0.3937891028571563,-0.09792446272260534,-0.15154048517755606,0.7215988854652952,-0.058089341043847866,0.2449505146505264,-0.2324790886370201,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,166500
1.6457933201710337,-0.8006733143570767,0.45982263949032426,0.39738316295998927,0.5568960320215283,0.11036440581366068,0.32027054648828107,-0.29204945808181243,0.17403282488207955,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,292500
1.2028481852476882,0.213202303771731,0.42667988408286633,-0.021794891212980987,-0.8902919031509283,0.022757627764653083,-0.45902973369542655,0.054761042966807776,-0.3449898539088548,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,196500
-1.9072952757934287,-0.09589321316908077,-0.16586798935688032,0.9756584890657582,-0.4569051157519735,-1.2046199857781001,-0.7324651000435549,0.4467185624185499,-0.07846160267915758,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,145000
-0.27926497838401165,-0.5593931147523393,-0.30256124890572406,0.2439147818157324,-0.6784623496917014,0.5531533350539658,0.10560613955744431,0.14185760998682018,-0.16199348175602385,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,180000
-0.987136461239803,0.8155749167919483,0.0045506460011929305,-0.48577267829385207,-0.18959318312831605,-0.43561518707220415,0.7733326483380607,-0.21713553591941753,-0.29887942042635635,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,113000
3.1686508068048855,1.7232949932813344,0.5281239004513765,-0.9527482463385896,-0.7735948015724564,0.6128900202779467,1.9138872160783573,-1.0379203781534683,-0.187172912002536,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,425000
-2.275322447804535,-0.9955159110024908,-0.36446011648868326,-0.23240934949769804,0.28143341328095484,-0.34163107633808604,0.8585848377415528,0.05137299097040448,-0.4007261896080461,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,92500
2.006363446063033,0.15318601018597125,0.387925761190812,-0.17030681973525064,-0.9050249744303004,0.12344593164291699,0.5785885653078736,0.1966542418993833,0.7494422855038483,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,252659
-0.5966104442459585,-0.5779709613488851,-0.6780024369553866,-0.6962575100781266,-0.2376539447849401,-0.8608283079105583,0.9473333868426199,0.23162078821390852,-0.24798837457227924,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,153000
