PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,heating___electric,heating___hot air,heating___hot water/steam,fuel___electric,fuel___gas,fuel___oil,sewer___none,sewer___public/commercial,sewer___septic,waterfront___No,waterfront___Yes,newConstruction___No,newConstruction___Yes,centralAir___No,centralAir___Yes
-0.2769195202341257,-0.6423589858594164,-0.3937891028571606,-0.09792446272260472,-0.15154048517755633,0.721598885465295,-0.05808934104384652,0.24495051465052575,-0.23247908863702008,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1.6457933201710333,-0.800673314357078,0.45982263949032126,0.3973831629599895,0.5568960320215276,0.11036440581365986,0.3202705464882815,-0.2920494580818118,0.17403282488207986,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
1.202848185247688,0.21320230377172852,0.42667988408286456,-0.021794891212981102,-0.890291903150931,0.022757627764653208,-0.45902973369542494,0.05476104296680569,-0.34498985390885545,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
-1.9072952757934283,-0.0958932131690783,-0.1658679893568824,0.9756584890657579,-0.4569051157519749,-1.2046199857781006,-0.7324651000435568,0.4467185624185477,-0.07846160267915771,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
-0.2792649783840115,-0.5593931147523376,-0.30256124890572944,0.2439147818157324,-0.6784623496917013,0.5531533350539646,0.10560613955744674,0.1418576099868198,-0.16199348175602382,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0
-0.9871364612398027,0.8155749167919477,0.004550646001197,-0.485772678293853,-0.18959318312831228,-0.4356151870722051,0.7733326483380601,-0.21713553591941512,-0.2988794204263568,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0
3.1686508068048846,1.7232949932813306,0.5281239004513845,-0.9527482463385918,-0.7735948015724508,0.612890020277944,1.9138872160783613,-1.0379203781534632,-0.1871729120025369,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0
-2.275322447804534,-0.9955159110024892,-0.3644601164886888,-0.23240934949769745,0.28143341328095883,-0.3416310763380883,0.8585848377415515,0.05137299097040687,-0.4007261896080458,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
2.0063634460630326,0.15318601018597006,0.3879257611908104,-0.17030681973525133,-0.9050249744303002,0.12344593164291481,0.5785885653078753,0.1966542418993851,0.7494422855038477,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
-0.5966104442459582,-0.5779709613488818,-0.6780024369553911,-0.6962575100781259,-0.23765394478493446,-0.8608283079105612,0.9473333868426185,0.2316207882139109,-0.24798837457227974,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
